total_pop,median_income,no_vehicle_hh,hh_total,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
2311,39572,10,953,36005005600,0.34919948074426654,0.18384046974370102,378,0.23863636363636365,0.8415529905561385,0.042043399638336344
2938,48456,280,1247,36005005902,0.308713410483322,0.1433543994827565,603,0.3165354330708661,0.6744186046511628,0.006421691045308598
1297,47375,0,375,36005006000,0.2546728971962617,0.08931388619569616,172,0.21855146124523506,0.8266666666666667,0.007569386038687973
3868,66430,472,1943,36005006100,0.1288726894038011,-0.03648632159676443,1058,0.33512828634779857,0.5563561502830674,0.0024019215372297837
6217,30236,20,2543,36005006200,0.3755830786553,0.21022406765473448,432,0.11335607452112306,0.9807314195831695,0.030328702134869535
5845,55396,326,2303,36005006301,0.26928999144568005,0.10393098044511453,957,0.21442975576966167,0.7781155015197568,0.008094981111710739
3928,24730,88,1383,36005006400,0.42508978963571065,0.25973077863514515,291,0.1185336048879837,0.7975415762834418,0.018569087930092845
5627,22985,125,2157,36005006500,0.5349212034383954,0.36956219243782995,526,0.1605126640219713,0.9420491423273064,0.006070755704416998
6777,17390,30,2586,36005006700,0.5304707097535782,0.36511169875301275,157,0.03784956605593057,0.960170146945089,0.01827956989247312
2493,29844,103,907,36005006800,0.34416365824308065,0.17880464724251513,155,0.10045366169799093,0.8191841234840133,0.017094017094017096
7118,29627,31,2889,36005006900,0.3826917673503793,0.21733275634981378,545,0.12313601446000903,0.952232606438214,0.02251914127007957
3869,57905,113,1294,36005007000,0.2935233160621762,0.12816430506161067,406,0.15413819286256644,0.6746522411128284,0.012181616832779624
2872,44792,197,1256,36005007100,0.17618213660245183,0.010823125601886308,655,0.3225012309207287,0.6106687898089171,0.014189693801344288
6176,63449,64,1651,36005007200,0.16301347621367104,-0.0023455347868944765,692,0.16674698795180723,0.6493034524530588,0.012881595200282337
4444,28166,99,1535,36005007300,0.3496045197740113,0.18424550877344578,199,0.07909379968203498,0.9133550488599349,0.06665056749577397
3192,53166,97,1341,36005007400,0.19235588972431078,0.02699687872374526,510,0.22348816827344434,0.5831469052945563,0.01624721248805352
6670,34484,236,2391,36005007500,0.3272863568215892,0.16192734582102367,801,0.19550890895777398,0.8138854035968214,0.016963109354413704
5109,53784,152,1868,36005007600,0.16381177397125418,-0.001547237029311338,831,0.23283833006444382,0.7815845824411135,0.010853049706967658
2166,48846,34,570,36005007700,0.2198056455344748,0.05444663453390927,199,0.1414356787491116,0.7596491228070176,0.01424361493123772
6241,61328,69,1939,36005007800,0.22802773746169971,0.0626687264611342,608,0.16584833606110203,0.702423929860753,0.019369214946863215
7086,34604,0,2332,36005007900,0.315714691673771,0.15035568067320546,514,0.13128991060025544,1.0,0.0318974511849754
6564,50920,133,2317,36005008300,0.17432453060601436,0.008965519605448835,881,0.2096620656830081,0.778593008200259,0.027978774722624215
2811,67724,359,993,36005008400,0.05193881181074351,-0.11342019918982202,550,0.2679006332196785,0.2598187311178248,0.01736504341260853
5746,34543,204,2148,36005008500,0.3578353604794641,0.1924763494788986,648,0.17030223390275953,0.7811918063314711,0.021945866861741038
4304,23987,19,1591,36005008600,0.4226779252110977,0.2573189142105322,149,0.06772727272727273,0.8912633563796355,0.03343465045592705
6677,36402,25,2088,36005008700,0.4241037376048818,0.25874472660431624,687,0.1704714640198511,0.9746168582375478,0.0795006570302234
3239,41484,77,1294,36005008900,0.1851393188854489,0.019780307884883386,164,0.06978723404255319,0.919629057187017,0.09910485933503836
3692,33831,2,1247,36005009000,0.3680555555555556,0.20269654455499006,205,0.09192825112107623,0.8011226944667201,0.034175761056863874
5959,56208,48,1856,36005009200,0.22033898305084745,0.05497997205028193,564,0.1446524749935881,0.7397629310344828,0.01659978110178767
5066,47185,94,1876,36005009301,0.2653225806451613,0.09996356964459577,473,0.15327284510693454,0.9088486140724946,0.02657436355515855
463,-666666666,0,0,36005009302,,,10,0.026881720430107527,0.656320829555757,0.0
2740,53333,65,876,36005009600,0.19506369426751594,0.029704683266950416,360,0.18838304552590268,0.7408675799086758,0.009976976208749041
4715,56128,7,1638,36005009800,0.18371467025572005,0.018355659255154533,800,0.2230275996654586,0.5537240537240538,0.024493431307058562
4242,28592,65,1439,36005011502,0.42381870781099323,0.2584596968104277,390,0.15706806282722513,0.8797776233495483,0.06931190356604722
1509,33967,5,493,36005011701,0.3399602385685885,0.17460122756802296,153,0.18085106382978725,0.9269776876267748,0.0
5798,109396,50,1501,36005011800,0.1079136690647482,-0.05744534193581732,1087,0.362696029362696,0.3670886075949367,0.01052242938896068
6159,34335,0,1944,36005011900,0.29650783289817234,0.13114882189760682,364,0.12041018855441614,0.941358024691358,0.014822657490735839
3415,55000,18,1030,36005012101,0.2958579881656805,0.13049897716511497,397,0.17574147853032315,0.8029126213592233,0.036734693877551024
1337,43472,0,522,36005012102,0.2319277108433735,0.06656869984280797,39,0.039959016393442626,0.9827586206896551,0.019654088050314465
4915,47402,0,1699,36005012300,0.12533062054933877,-0.04002839045122675,396,0.12811387900355872,0.8893466745144203,0.005710520535910389
4030,51875,0,1386,36005012500,0.30607124937280483,0.1407122383722393,486,0.20182724252491693,0.7655122655122655,0.009787472035794184
2460,44667,68,780,36005012701,0.2896039603960396,0.12424494939547406,177,0.11792138574283811,0.735897435897436,0.05409090909090909
5469,40575,0,1739,36005012901,0.35807612194660104,0.19271711094603552,267,0.08401510383889238,0.9516963772282921,0.01405295315682281
1262,59083,25,449,36005013000,0.27179080824088747,0.10643179724032195,228,0.28322981366459626,0.4922048997772829,0.004125412541254125
4822,17410,156,2107,36005013100,0.4381999170468685,0.27284090604630296,537,0.1570175438596491,0.8604651162790697,0.055151774262505344
7249,104651,230,2592,36005013200,0.09932404469582011,-0.06603496630474541,1469,0.2909487027134086,0.3773148148148148,0.002061552054189368
6038,34055,101,2272,36005013300,0.21161204458492763,0.04625303358436211,503,0.13157206382422182,0.9168133802816901,0.0988573407202216
3125,27602,22,1479,36005013500,0.43424,0.26888098899943447,98,0.05015353121801433,0.9344151453684922,0.02018795683954055
2969,84042,136,1205,36005013800,0.12664196699225327,-0.038717044008312246,597,0.2808090310442145,0.34522821576763485,0.0
7133,35506,55,2836,36005014100,0.2733772606196551,0.1080182496190896,902,0.20379575237234523,0.9347672778561354,0.027597402597402596
1715,16678,0,696,36005014300,0.41597633136094675,0.2506173203603812,155,0.15063168124392615,1.0,0.0032113037893384713
6253,29213,23,2411,36005014400,0.29993504384540437,0.13457603284483885,566,0.13992583436341163,0.8598092077975944,0.02090975788701394
6425,27352,36,2418,36005014500,0.4961340206185567,0.3307750096179912,218,0.05420188960716062,0.9851116625310173,0.021742684322380253
5645,25858,33,2064,36005014701,0.4760970388869069,0.3107380278863414,357,0.10182544209925841,0.9840116279069767,0.017234848484848485
5232,21196,25,1934,36005014702,0.41647553516819574,0.2511165241676302,327,0.11783783783783784,0.9870734229576008,0.08137089991589572
4917,41311,110,1485,36005014900,0.3726027397260274,0.2072437287254619,528,0.1967946328736489,0.8053872053872054,0.009519592649988931
5143,28618,115,2088,36005015100,0.4175584621482362,0.25219945114767073,427,0.11233885819521179,0.8132183908045977,0.012205044751830757
2666,77238,45,987,36005015200,0.13477924089852827,-0.030579770102037246,358,0.21398684997011358,0.5045592705167173,0.006716712761754247
4161,38862,10,1753,36005015300,0.25970222113741764,0.09434321013685212,275,0.09846043680630147,0.9110096976611524,0.02274530547474213
2943,37168,0,1107,36005015500,0.23139653414882771,0.0660375231482622,335,0.1717948717948718,0.9448961156278229,0.025533536585365852
5520,39776,0,2095,36005015700,0.36748410535876475,0.20212509435819923,522,0.14927080354589647,0.9431980906921241,0.01932938856015779
1461,70357,0,494,36005015800,0.2546201232032854,0.0892611122027199,213,0.2,0.6153846153846154,0.021613832853025938
2218,24485,36,873,36005015900,0.37398373983739835,0.20862472883683283,297,0.18574108818011256,0.8785796105383734,0.03896713615023474
3903,96838,45,1497,36005016000,0.07583909812964386,-0.08951991287092166,751,0.25500848896434636,0.34335337341349365,0.00236655272153563
4490,22286,0,1957,36005016100,0.3935412026726058,0.22818219167204026,420,0.1276595744680851,0.9943791517629024,0.012702893436838392
1826,115278,0,506,36005016200,0.06064281382656155,-0.10471619717400396,311,0.24071207430340558,0.41699604743083,0.06180105944673337
1029,66912,48,412,36005016400,0.26141885325558795,0.09605984225502243,221,0.3082287308228731,0.4854368932038835,0.0
1134,46179,0,333,36005016500,0.23897707231040563,0.07361806130984011,120,0.17804154302670624,1.0,0.0
2417,105764,35,829,36005016600,0.14493960849645982,-0.020419402504105705,511,0.31349693251533745,0.5367913148371531,0.003202195791399817
3599,41500,32,1150,36005016700,0.4,0.2346409889994345,310,0.1486810551558753,0.9434782608695652,0.02162962962962963
1894,50107,27,564,36005016900,0.4174809989142237,0.25212198791365814,297,0.23496835443037975,0.8776595744680851,0.005047672462142457
6411,17446,93,2276,36005017300,0.4811865729898517,0.3158275619892862,447,0.10745192307692308,0.9424428822495606,0.034551165481897836
6116,26463,0,2831,36005017500,0.30415503366726887,0.13879602266670335,414,0.10670103092783505,1.0,0.013160203544481488
4717,30375,0,1374,36005017701,0.5048275862068966,0.3394685752063311,389,0.12244255587031791,0.9461426491994177,0.023910984848484848
5480,47963,198,1657,36005017702,0.32536496350364963,0.1600059525030841,567,0.16955741626794257,0.8406759203379601,0.015621948838117555
5096,47035,75,1686,36005017901,0.22566718995290425,0.060308178952338726,416,0.11754732975416785,0.9211150652431791,0.02198952879581152
3816,41475,0,1319,36005017902,0.24659329140461217,0.08123428040404665,453,0.20516304347826086,1.0,0.010616929698708751
3215,-666666666,44,1040,36005018101,0.36779819370912487,0.20243918270855935,163,0.0989678202792957,0.9153846153846154,0.04449078901633646
5453,33950,15,2180,36005018102,0.2914592110302566,0.1261002000296911,412,0.1170787155441887,0.9811926605504587,0.010459838168541543
4665,56508,195,2016,36005018301,0.1472668810289389,-0.018092129971626625,908,0.26832151300236406,0.7807539682539683,0.020009095043201454
3680,72540,54,1460,36005018302,0.11630434782608695,-0.04905466317447857,305,0.12655601659751037,0.934931506849315,0.007060152499293985
4085,117819,24,1407,36005018400,0.08959608323133415,-0.07576292776923137,746,0.26519729825808747,0.5707178393745558,0.01825013419216318
2783,50177,0,1240,36005018501,0.3255479698167445,0.16018895881617898,486,0.28338192419825076,1.0,0.01195526417277285
6314,21635,11,2100,36005018502,0.45297228008331997,0.2876132690827544,400,0.10093363613424174,0.9771428571428571,0.015292801193584483
8460,45770,44,2857,36005018900,0.3458883371684631,0.1805293261678976,1025,0.21012710127101272,0.9751487574378719,0.009107234479220112
5933,38663,58,2410,36005019300,0.2518118995449182,0.08645288854435271,667,0.1690319310694374,0.9759336099585062,0.022020955425324097
2070,70185,41,728,36005019400,0.20241545893719806,0.03705644793663254,357,0.24351978171896316,0.4807692307692308,0.01547678482276585
7143,33412,74,2650,36005019500,0.47917555081734187,0.3138165398167764,488,0.10088898077320653,0.9550943396226416,0.0052662375658279695
7830,34871,0,2513,36005019700,0.5070569785676947,0.3416979675671292,486,0.1057671381936888,1.0,0.015633496465470364
7496,35139,79,3251,36005019900,0.33790138385059787,0.17254237285003235,702,0.1389823797267868,0.935404490925869,0.02112979732643381
4935,46021,89,1491,36005020000,0.23793103448275862,0.0725720234821931,751,0.25125460020073603,0.8189134808853119,0.021956521739130434
3868,37433,0,1351,36005020100,0.41115434500648507,0.24579533400591955,234,0.10147441457068516,1.0,0.03235536057033178
2578,53651,62,972,36005020200,0.22135007849293564,0.05599106749237012,372,0.2108843537414966,0.8076131687242798,0.008203445447087777
3012,59138,56,1029,36005020400,0.1784881784881785,0.013129167487612975,365,0.1967654986522911,0.8231292517006803,0.0
7271,17056,53,2701,36005020501,0.6006051437216339,0.4352461327210684,359,0.08155383916401636,0.9622362088115513,0.02814344076259646
2605,28510,69,1048,36005020502,0.2768993443887389,0.1115403333881734,357,0.19572368421052633,0.8482824427480916,0.024770275669196963
